switch,MAE,MSE,MeanError
1,87646.63985587044,12793845625.830795,-80944.41089200923
2,80536.08768331035,10768218388.206501,-73154.12120345065
3,72869.57371969786,9343914456.119291,-68929.42619241707
4,63361.50970635574,6697372699.556809,-59421.36217907496
5,61475.18626722923,6016811193.40197,-57933.469207925475
6,59014.528518140374,5217890248.54662,-55472.81145883661
7,56923.10062238871,4742768775.845876,-53381.38356308494
