switch,MAE,MSE,MeanError
1,82604.7063912056,12009168387.882145,-65244.00396169013
2,75672.09088527838,9614025913.233889,-44893.38872887625
3,63487.42598493821,7743968061.952424,-31248.4495596512
4,48595.497716577374,4718954359.555761,-15460.22277418144
5,41999.05219835514,3640538766.9454713,-9262.207723936224
6,36398.31306320245,2529538879.039463,-3661.468588783536
7,32736.84447441887,1893196664.7366798,4.1087760644800525e-11
