switch,MAE,MSE,MeanError
1,82414.86463280876,11969696590.672052,-65228.3801355429
2,75591.17904104709,9616447851.003603,-44952.28054407126
3,63405.3744874236,7746040886.741235,-31285.287716332317
4,48505.07855726343,4720148036.680587,-15482.330077332417
5,41899.1664748115,3641108519.2585263,-9273.263606102548
6,36291.056540472724,2529470321.155136,-3665.1536717637687
7,32625.902868708734,1892750451.154886,2.1913472343893612e-10
