switch,MAE,MSE,MeanError
1,87661.81389563913,12766121651.386642,-80965.46582977324
2,80654.58807366817,10782062186.250412,-73279.03479368589
3,72989.19321080459,9357639411.521116,-69054.29338248515
4,63481.06984949683,6710605213.008371,-59546.1700211774
5,61596.28347531401,6029977592.535506,-58058.229258216634
6,59135.590679821304,5230888508.8826685,-55597.536462723925
7,57044.145577480354,4755652263.820536,-53506.091360382976
