train_end,mode,target_date,step,predicted,actual,error,abs_error,squared_error
2025-07-31,single,2025-08-01,1,3433699.2159552625,3597948.0,-164248.78404473746,164248.78404473746,26977663060.174805
2025-07-31,multi,2025-08-01,1,3514564.72886541,3597948.0,-83383.2711345898,83383.2711345898,6952769905.104516
2025-07-31,multi,2025-08-02,2,2656404.996251364,2661419.0,-5014.003748636227,5014.003748636227,25140233.59133814
2025-07-31,multi,2025-08-03,3,2051340.692407918,2109137.0,-57796.30759208207,57796.30759208207,3340413171.2785635
2025-07-31,iterative,2025-08-01,1,3481501.7732324433,3597948.0,-116446.22676755674,116446.22676755674,13559723728.401249
2025-07-31,iterative,2025-08-02,2,2637836.1373489685,2661419.0,-23582.862651031464,23582.862651031464,556151410.8174148
2025-07-31,iterative,2025-08-03,3,2111160.7485277527,2109137.0,2023.7485277527012,2023.7485277527012,4095558.1035812255
