train_end,mode,target_date,step,predicted,actual,error,abs_error,squared_error
2025-08-06,single,2025-08-07,1,3983515.5806909613,3944222.0,39293.58069096133,39293.58069096133,1543985483.5170891
2025-08-06,multi,2025-08-07,1,3934438.053180095,3944222.0,-9783.946819905192,9783.946819905192,95725615.37473291
2025-08-06,multi,2025-08-08,2,3641409.2336888746,3654157.0,-12747.766311125364,12747.766311125364,162505545.92306277
2025-08-06,multi,2025-08-09,3,2618397.7536027376,2669616.0,-51218.24639726244,51218.24639726244,2623308764.010687
2025-08-06,multi,2025-08-10,4,1978871.3191878235,2199682.0,-220810.68081217655,220810.68081217655,48757356760.736916
2025-08-06,iterative,2025-08-07,1,3933363.254528329,3944222.0,-10858.745471671224,10858.745471671224,117912353.21854031
2025-08-06,iterative,2025-08-08,2,3573762.453639097,3654157.0,-80394.54636090295,80394.54636090295,6463283084.575375
2025-08-06,iterative,2025-08-09,3,2623164.202467085,2669616.0,-46451.79753291514,46451.79753291514,2157769494.038941
2025-08-06,iterative,2025-08-10,4,2136451.0226293006,2199682.0,-63230.9773706994,63230.9773706994,3998156499.2539
