train_end,mode,target_date,step,predicted,actual,error,abs_error,squared_error
2025-08-08,single,2025-08-09,1,2623489.7108751475,2669616.0,-46126.28912485251,46126.28912485251,2127634548.4294872
2025-08-08,multi,2025-08-09,1,2691116.039723175,2669616.0,21500.039723175112,21500.039723175112,462251708.09810776
2025-08-08,multi,2025-08-10,2,1996499.7560553895,2199682.0,-203182.24394461047,203182.24394461047,41283024254.367195
2025-08-08,iterative,2025-08-09,1,2695184.845557223,2669616.0,25568.845557223074,25568.845557223074,653765863.1291262
2025-08-08,iterative,2025-08-10,2,2129459.3315356225,2199682.0,-70222.66846437752,70222.66846437752,4931223166.257881
