train_end,mode,target_date,step,predicted,actual,error,abs_error,squared_error
2025-08-05,single,2025-08-06,1,4013505.716339665,3994766.0,18739.716339665,18739.716339665,351176968.49110734
2025-08-05,multi,2025-08-06,1,4005995.8122844375,3994766.0,11229.812284437474,11229.812284437474,126108683.9437028
2025-08-05,multi,2025-08-07,2,3963371.8751189285,3944222.0,19149.875118928496,19149.875118928496,366717717.0705567
2025-08-05,multi,2025-08-08,3,3714691.6707215947,3654157.0,60534.67072159471,60534.67072159471,3664446359.371896
2025-08-05,multi,2025-08-09,4,2650467.461631949,2669616.0,-19148.53836805094,19148.53836805094,366666521.632719
2025-08-05,multi,2025-08-10,5,2031334.5824025911,2199682.0,-168347.41759740887,168347.41759740887,28340853011.71637
2025-08-05,iterative,2025-08-06,1,3982836.2660902105,3994766.0,-11929.733909789473,11929.733909789473,142318551.15838084
2025-08-05,iterative,2025-08-07,2,3950377.6413352387,3944222.0,6155.641335238703,6155.641335238703,37891920.24809932
2025-08-05,iterative,2025-08-08,3,3555609.233231271,3654157.0,-98547.76676872885,98547.76676872885,9711662335.103779
2025-08-05,iterative,2025-08-09,4,2631471.6912277667,2669616.0,-38144.308772233315,38144.308772233315,1454988291.7114754
2025-08-05,iterative,2025-08-10,5,2120125.2904020147,2199682.0,-79556.70959798526,79556.70959798526,6329270042.05816
