train_end,mode,target_date,step,predicted,actual,error,abs_error,squared_error
2025-08-01,single,2025-08-02,1,2612967.796377131,2661419.0,-48451.203622869216,48451.203622869216,2347519132.504735
2025-08-01,multi,2025-08-02,1,2640997.2503681956,2661419.0,-20421.749631804414,20421.749631804414,417047858.0241037
2025-08-01,multi,2025-08-03,2,2111048.183032285,2109137.0,1911.1830322849564,1911.1830322849564,3652620.5828939206
2025-08-01,iterative,2025-08-02,1,2593559.021300628,2661419.0,-67859.97869937215,67859.97869937215,4604976709.079242
2025-08-01,iterative,2025-08-03,2,2104763.4833904346,2109137.0,-4373.516609565355,4373.516609565355,19127647.534144036
