train_end,mode,target_date,step,predicted,actual,error,abs_error,squared_error
2025-08-07,single,2025-08-08,1,3643921.7061808766,3654157.0,-10235.293819123413,10235.293819123413,104761239.56378596
2025-08-07,multi,2025-08-08,1,3555609.233231271,3654157.0,-98547.76676872885,98547.76676872885,9711662335.103779
2025-08-07,multi,2025-08-09,2,2490959.369318748,2669616.0,-178656.6306812521,178656.6306812521,31918191686.37731
2025-08-07,multi,2025-08-10,3,1998376.9446823183,2199682.0,-201305.05531768175,201305.05531768175,40523725296.45491
2025-08-07,iterative,2025-08-08,1,3613908.0104550663,3654157.0,-40248.98954493366,40248.98954493366,1619981159.3881793
2025-08-07,iterative,2025-08-09,2,2696076.954587949,2669616.0,26460.954587948974,26460.954587948974,700182117.7054979
2025-08-07,iterative,2025-08-10,3,2129445.958080596,2199682.0,-70236.04191940418,70236.04191940418,4933101584.5043
