train_end,mode,target_date,step,predicted,actual,error,abs_error,squared_error
2025-08-03,single,2025-08-04,1,3444388.9016675074,3603422.0,-159033.09833249263,159033.09833249263,25291526365.232273
2025-08-03,multi,2025-08-04,1,3444479.343761126,3603422.0,-158942.65623887395,158942.65623887395,25262767972.268856
2025-08-03,multi,2025-08-05,2,3806907.996363769,3990441.0,-183533.00363623118,183533.00363623118,33684363423.736847
2025-08-03,multi,2025-08-06,3,3886079.1889724554,3994766.0,-108686.81102754455,108686.81102754455,11812822891.33718
2025-08-03,multi,2025-08-07,4,3733822.4968189965,3944222.0,-210399.5031810035,210399.5031810035,44267950938.8131
2025-08-03,multi,2025-08-08,5,3660930.3179556103,3654157.0,6773.317955610342,6773.317955610342,45877836.12779347
2025-08-03,multi,2025-08-09,6,2627455.396873947,2669616.0,-42160.60312605323,42160.60312605323,1777516455.9525697
2025-08-03,multi,2025-08-10,7,2050539.9053013697,2199682.0,-149142.09469863027,149142.09469863027,22243364411.0952
2025-08-03,iterative,2025-08-04,1,3437837.3455320005,3603422.0,-165584.65446799947,165584.65446799947,27418277795.286777
2025-08-03,iterative,2025-08-05,2,3827595.583173313,3990441.0,-162845.41682668682,162845.41682668682,26518629781.457375
2025-08-03,iterative,2025-08-06,3,3936234.3078985065,3994766.0,-58531.69210149348,58531.69210149348,3425958980.264034
2025-08-03,iterative,2025-08-07,4,3887198.330666633,3944222.0,-57023.66933336714,57023.66933336714,3251698864.241196
2025-08-03,iterative,2025-08-08,5,3589644.0697667124,3654157.0,-64512.930233287625,64512.930233287625,4161918167.2850366
2025-08-03,iterative,2025-08-09,6,2574716.5735059134,2669616.0,-94899.42649408663,94899.42649408663,9005901148.906551
2025-08-03,iterative,2025-08-10,7,2121648.453756926,2199682.0,-78033.54624307388,78033.54624307388,6089234339.26995
